Provider_ID,MEASURE_DESCRIPTION,mi,ni,pihat,pihat_1,pihat_2,pihat_3,var_within_provider,var_within_provider_1,var_within_provider_2,var_within_provider_3,var_between_provider,alpha_hat_beta_binom,beta_hat_beta_binom,Adams_orig,Adams_1,Adams_2,Adams_3,Fake_provid,HGLM_var_within,tau2,HGLM_R
100079,Combination Chemotherapy Breast Cancer,28,30,0.9333333333,0.90625,0.9193548387,0.8664322615,0.0020740741,0.0028320313,0.002471384,0.0038575799,3.674629E-10,96179400.104,3820598.8957,1.7716958E-7,1.297524E-7,1.4868707E-7,9.5257356E-8,1,0.1096622711,0,0
100271,Combination Chemotherapy Breast Cancer,57,60,0.95,0.935483871,0.9426229508,0.8985477117,0.0007916667,0.0010058966,0.0009014154,0.0015193287,3.674629E-10,96179400.104,3820598.8957,4.6416345E-7,3.6530867E-7,4.0765085E-7,2.4185867E-7,2,0.0548311356,0,0
220162,Combination Chemotherapy Breast Cancer,93,95,0.9789473684,0.9690721649,0.9739583333,0.9343808351,0.0002169412,0.0003154874,0.0002669842,0.0006454031,3.674629E-10,96179400.104,3820598.8957,1.6938332E-6,1.1647453E-6,1.3763451E-6,5.6935381E-7,3,0.0346301909,0,0
330154,Combination Chemotherapy Breast Cancer,185,191,0.9685863874,0.9637305699,0.9661458333,0.9369684594,0.0001593026,0.000183005,0.0001712464,0.0003092071,3.674629E-10,96179400.104,3820598.8957,2.3066921E-6,2.0079349E-6,2.1458093E-6,1.1884022E-6,4,0.0172244405,0,0
330354,Combination Chemotherapy Breast Cancer,22,24,0.9166666667,0.8846153846,0.9,0.8460329803,0.0031828704,0.0042529586,0.00375,0.005427549,3.674629E-10,96179400.104,3820598.8957,1.1545015E-7,8.6401704E-8,9.7990097E-8,6.7703281E-8,5,0.1370778389,0,0
360242,Combination Chemotherapy Breast Cancer,50,51,0.9803921569,0.9622641509,0.9711538462,0.9213862759,0.0003769289,0.0007119972,0.0005492952,0.0014202668,3.674629E-10,96179400.104,3820598.8957,9.7488547E-7,5.1610138E-7,6.6897122E-7,2.5872801E-7,6,0.0645072183,0,0
390196,Combination Chemotherapy Breast Cancer,23,24,0.9583333333,0.9230769231,0.94,0.8806362784,0.0016637731,0.0029585799,0.00235,0.0043798343,3.674629E-10,96179400.104,3820598.8957,2.2086113E-7,1.2420244E-7,1.5636717E-7,8.3898806E-8,7,0.1370778389,0,0
450076,Combination Chemotherapy Breast Cancer,91,94,0.9680851064,0.9583333333,0.9631578947,0.924319855,0.0003286844,0.0004247931,0.0003774975,0.0007441772,3.674629E-10,96179400.104,3820598.8957,1.1179797E-6,8.6503887E-7,9.7341717E-7,4.9378387E-7,8,0.0349985972,0,0
500138,Combination Chemotherapy Breast Cancer,30,33,0.9090909091,0.8857142857,0.8970588235,0.8484359889,0.0025043827,0.0030674088,0.0027983118,0.0038967382,3.674629E-10,96179400.104,3820598.8957,1.4672791E-7,1.1979585E-7,1.3131591E-7,9.4300116E-8,9,0.0996929737,0,0
